Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
flowers online melbourne,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Local teaser, Sitelinks, Shopping, Thumbnail",200,60,1.40,41,28,-13,,2,4,-2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-27 09:26:21,2026-03-30 07:52:26
perth flower delivery same day,AU,Australia,English,Perth (Location),false,true,false,false,true,true,"Local teaser, Shopping, Thumbnail, Sitelinks, Bottom ads, Paid sitelinks",80,30,1.45,4,28,24,,8,2,6,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-11 15:32:08,2026-03-27 04:10:56
same day delivery flowers adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,true,Local teaser,80,51,1.76,10,28,18,,3,2,1,,https://www.lvly.com.au/collections/flower-delivery-adelaide,,https://www.lvly.com.au/,2026-01-11 14:06:53,2026-04-02 21:32:27
perth flowers same day delivery,AU,Australia,English,Perth (Location),false,true,false,false,true,true,"Local teaser, Sitelinks",80,33,,25,27,3,3,2,2,,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-25 09:45:12,2026-04-13 17:38:37
fremantle florist free delivery,AU,Australia,English,Fremantle (Location),false,true,false,true,true,true,People also ask,100,18,0.62,22,27,5,,3,1,2,,https://www.lvly.com.au/collections/fremantle,,https://www.lvly.com.au/collections/fremantle,2026-01-09 10:48:03,2026-04-24 23:34:36
same day delivery perth,AU,Australia,English,Perth (Location),false,true,false,true,true,false,"Sitelinks, Knowledge panel, People also ask",250,11,1.27,0,27,27,,44,3,41,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-12 18:08:07,2026-04-21 22:07:03
flowers online,AU,Australia,English,,false,false,false,false,true,true,"Top ads, Paid sitelinks, Sitelinks, Shopping, Thumbnail",350,67,1.50,0,27,27,,31,3,28,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-30 01:50:44,2026-04-21 00:42:53
lvly dried flowers,AU,Australia,English,LVLY (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail, Shopping",30,1,0.66,23,27,3,,1,1,,,https://www.lvly.com.au/collections/shop-all-flowers,,https://www.lvly.com.au/collections/shop-all-flowers,2026-01-24 10:29:13,2026-04-11 15:42:30
sydney flower delivery,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,"Thumbnail, Sitelinks, Shopping",1100,61,2.18,23,27,3,,13,12,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-sydney,2026-01-23 05:00:19,2026-04-16 04:27:57
adelaide florist delivery,AU,Australia,English,Adelaide (Location),false,true,false,true,true,false,"Sitelinks, People also ask",100,43,1.60,10,27,17,4,6,1,5,,https://www.lvly.com.au/collections/flower-delivery-adelaide,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2026-01-05 14:44:30,2026-04-20 17:37:28
lvly candle,AU,Australia,English,LVLY (Organization),true,false,false,true,true,false,"Shopping, Thumbnail, People also ask",30,0,,28,27,-2,3,1,1,,,https://www.lvly.com.au/products/candle,,https://www.lvly.com.au/products/personalised-candle-native-posy,2026-01-18 08:50:39,2026-04-01 23:28:05
flower and gift delivery melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Local teaser, Shopping, Thumbnail",70,62,1.26,6,26,21,1,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-melbourne,2026-01-22 00:52:25,2026-04-07 22:14:50
next day flowers,AU,Australia,English,,false,false,false,false,true,true,"Shopping, Thumbnail",70,68,2.93,26,26,0,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-03 09:36:35,2026-04-03 20:00:24
gifts melbourne delivery,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Thumbnail, Sitelinks, Shopping",70,28,,9,26,18,,3,1,2,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/shop-all,2025-12-23 21:58:48,2026-04-21 19:08:32
delivery of flowers in melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Local teaser, Sitelinks",200,55,,36,26,-9,,4,4,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-02 05:51:36,2026-03-29 23:50:31
gift delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Local teaser, Sitelinks, Thumbnail, Video preview",150,18,1.03,26,,,,6,,Lost,,https://www.lvly.com.au/collections/shop-all,,,2026-01-15 00:08:39,
same day birthday gift delivery,AU,Australia,English,,false,false,false,false,true,true,"AI Overview, Sitelinks, Thumbnail, Shopping, Video preview",200,2,0.99,,26,,,,3,New,,,,https://www.lvly.com.au/collections/birthday,,2026-04-04 05:36:17
florist fremantle,AU,Australia,English,Fremantle (Location),false,true,false,true,true,false,"Local teaser, Sitelinks, People also ask",200,16,1.03,2,26,25,,16,3,13,,https://www.lvly.com.au/collections/fremantle,,https://www.lvly.com.au/collections/fremantle,2025-12-17 05:06:33,2026-04-06 20:18:05
flower shop fremantle,AU,Australia,English,Fremantle (Location),false,true,false,true,true,true,Bottom ads,70,11,1.41,,26,,,,1,New,,,,https://www.lvly.com.au/collections/fremantle,,2026-04-24 01:35:27
same day hamper delivery melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Sitelinks, Knowledge panel",200,34,1.56,,26,,,,2,New,,,,https://www.lvly.com.au/collections/shop-all,,2026-04-19 16:15:28
flowers geelong,AU,Australia,English,Geelong (Location),false,true,false,true,true,false,"Local teaser, Sitelinks",350,34,0.89,6,26,20,,13,7,6,,https://www.lvly.com.au/collections/geelong,,https://www.lvly.com.au/collections/geelong,2025-12-30 21:26:24,2026-03-24 04:23:55
lvly discount,AU,Australia,English,LVLY (Organization),true,false,false,true,true,true,Sitelinks,60,0,0.63,11,26,15,,2,1,1,,https://www.lvly.com.au/products/lvly-team-posy,,https://www.lvly.com.au/pages/discount,2026-01-13 05:08:32,2026-03-29 13:07:11
flowers and wine delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,false,true,true,"Sitelinks, Thumbnail, Shopping, Discussions and forums, People also ask",200,23,1.78,6,26,20,,9,4,5,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-05 06:15:30,2026-04-14 02:01:21
send flowers same day,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Local teaser, People also ask",70,46,2.45,10,26,15,,2,1,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-02 02:04:03,2026-04-01 11:44:29
simple australian native bouquet,AU,Australia,English,,false,false,false,true,true,true,"Shopping, Thumbnail",70,0,,7,26,19,,4,1,3,,https://www.lvly.com.au/collections/native-flowers,,https://www.lvly.com.au/collections/native-flowers,2026-01-05 01:41:50,2026-04-05 21:17:23
native flower delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Local teaser, Thumbnail, Sitelinks, Shopping",70,5,1.63,7,26,19,,5,2,3,,https://www.lvly.com.au/collections/native-flowers,,https://www.lvly.com.au/collections/native-flowers,2026-01-02 14:29:03,2026-04-02 17:08:52
christmas delivery,AU,Australia,English,Christmas (Event),false,false,false,true,true,false,"Sitelinks, People also ask",50,11,,,26,,,,1,New,,,,https://www.lvly.com.au/collections/christmas-gifts,,2026-04-25 16:02:38
lvly mothers day,AU,Australia,English,"LVLY (Organization), Mother's Day (Event)",true,false,false,true,true,true,People also ask,30,0,,23,26,3,,1,1,,,https://www.lvly.com.au/collections/mothers-day,,https://www.lvly.com.au/collections/mothers-day,2026-01-14 04:02:39,2026-03-30 06:22:08
anniversary gifts,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, Shopping, Sitelinks, People also ask, Discussions and forums, Video preview",6100,2,0.51,0,26,26,,30,12,18,,https://www.lvly.com.au/collections/anniversary,,https://www.lvly.com.au/collections/anniversary,2026-01-28 02:56:29,2026-04-26 08:39:52
send flowers adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,true,"Sitelinks, People also ask",200,47,1.28,7,25,19,,10,3,7,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2025-12-30 02:08:36,2026-04-15 03:15:32
flower melbourne delivery,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Thumbnail, Sitelinks, Local teaser",200,68,1.49,28,25,-3,,3,2,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-25 08:29:28,2026-02-08 01:01:11
perth same day flower delivery,AU,Australia,English,Perth (Location),false,true,false,true,true,true,Sitelinks,70,26,2.26,9,25,16,,3,1,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-28 07:07:28,2026-04-18 06:12:17
lvly flowers adelaide,AU,Australia,English,"LVLY Flowers (Organization), Adelaide (Location)",true,true,false,true,true,false,"People also ask, Knowledge panel, Video preview",40,1,3.04,26,25,-1,4,1,1,,,https://www.lvly.com.au/collections/flower-delivery-adelaide,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2026-01-22 15:50:17,2026-04-09 06:55:54
same day delivery gold coast,AU,Australia,English,Gold Coast (Location),false,true,false,true,true,true,"Sitelinks, People also ask",250,0,0.84,17,25,8,,6,3,3,,https://www.lvly.com.au/collections/gold-coast,,https://www.lvly.com.au/collections/gold-coast,2025-12-16 13:03:39,2026-04-20 02:49:12
tulip,AU,Australia,English,,false,false,false,true,false,false,"Thumbnail, People also ask, Knowledge panel, Sitelinks, Video preview",8100,2,0.32,,25,,,,10,New,,,,https://www.lvly.com.au/products/tulips,,2026-04-28 07:25:25
perth flower,AU,Australia,English,Perth (Location),false,true,false,true,true,true,"Local teaser, Sitelinks, People also ask",70,11,1.22,2,25,22,,9,2,7,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-24 17:54:03,2026-04-13 15:27:52
next day flower delivery melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Local teaser, Shopping, Thumbnail",70,67,2.98,10,25,15,,3,2,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-21 05:47:39,2026-04-06 08:54:20
flower australia,AU,Australia,English,Australia (Location),false,true,false,true,true,true,"AI Overview, Video preview, Thumbnail, Sitelinks, People also ask",70,61,0.79,7,25,18,,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-04 02:37:03,2026-04-04 21:19:32
flowers australia,AU,Australia,English,Australia (Location),false,true,false,true,true,false,"Thumbnail, Sitelinks, People also ask",300,65,0.95,28,25,-4,,2,3,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-24 03:51:31,2026-04-12 16:17:06
mothers day flowers melbourne,AU,Australia,English,"Mother's Day (Event), Melbourne (Location)",false,true,false,false,true,true,"Thumbnail, Shopping, Local teaser, Sitelinks",250,10,,10,24,15,,3,4,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-melbourne,2026-01-20 14:08:41,2026-04-10 19:21:43
flower and gift delivery sydney,AU,Australia,English,Sydney (Location),false,true,false,false,true,true,"Top ads, Paid sitelinks, Local teaser, Shopping, Thumbnail, Bottom ads",70,53,1.75,8,24,16,,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-sydney,2026-01-06 13:32:54,2026-04-08 04:41:20
delivered flowers perth,AU,Australia,English,Perth (Location),false,true,false,true,true,true,"Top ads, Paid sitelinks, Sitelinks, Bottom ads",70,28,,,24,,1,,1,New,,,,https://www.lvly.com.au/collections/flower-delivery-perth,,2026-04-22 23:19:53
same day delivery flowers gold coast,AU,Australia,English,Gold Coast (Location),false,true,false,true,true,true,Sitelinks,70,25,1.80,9,24,15,7,3,1,2,,https://www.lvly.com.au/collections/gold-coast,,https://www.lvly.com.au/collections/gold-coast,2026-01-13 06:16:17,2026-03-31 23:19:53
cheap flower delivery,AU,Australia,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Sitelinks, Discussions and forums",200,54,0.65,1,24,23,,18,4,14,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-29 12:20:13,2026-03-08 12:54:16
order flowers online melbourne,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Sitelinks, Thumbnail, Shopping, People also ask",90,69,1.93,17,24,7,,3,2,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-18 16:04:19,2026-04-17 11:59:00
flower bouquet,AU,Australia,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Sitelinks, People also ask, Video preview",5200,50,0.57,7,24,17,,17,11,6,,https://www.lvly.com.au/collections/native-flowers,,https://www.lvly.com.au/collections/native-flowers,2026-01-28 13:25:56,2026-04-29 13:03:31
send flowers to australia,US,United States,English,Australia (Location),false,false,false,false,true,true,"Sitelinks, People also ask, Video preview",250,53,1.63,24,,,,6,,Lost,,https://www.lvly.com.au/,,,2025-12-25 10:02:28,
flowers melbourne,GB,United Kingdom,English,Melbourne (Location),false,true,false,true,true,true,Local teaser,150,66,1.74,18,24,6,,5,4,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-22 08:42:49,2026-04-08 00:22:27
flowers sydney,US,United States,English,Sydney (Location),false,true,false,true,true,false,"Local teaser, Thumbnail, Sitelinks, Bottom ads, Paid sitelinks, Video preview",300,67,2.31,24,,,,6,,Lost,,https://www.lvly.com.au/,,,2026-01-14 21:01:59,
florist delivery adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,false,"Thumbnail, Sitelinks, People also ask",70,38,1.31,,24,,,,1,New,,,,https://www.lvly.com.au/collections/flower-delivery-adelaide,,2026-04-20 16:39:26
deliver flowers in melbourne,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Sitelinks, People also ask",150,48,1.24,10,24,14,,7,2,5,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-melbourne,2026-01-10 02:07:46,2026-04-26 20:40:46
flower delivery broadbeach,AU,Australia,English,Broadbeach (Location),false,true,false,false,true,true,"Local teaser, Sitelinks",70,1,2.59,24,,,,2,,Lost,,https://www.lvly.com.au/collections/flower-delivery-broadbeach-waters-queensland,,,2026-01-17 18:05:47,
send gifts,AU,Australia,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Local teaser",150,46,0.73,24,24,0,,2,2,,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/shop-all,2026-01-17 22:44:32,2026-04-02 00:02:39
native australian flowers bouquet,AU,Australia,English,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, AI Overview, Sitelinks",150,0,0.78,24,24,0,,2,2,,,https://www.lvly.com.au/collections/native-flowers,,https://www.lvly.com.au/collections/native-flowers,2025-12-29 14:04:57,2026-04-29 13:12:11
order flowers online,AU,Australia,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Sitelinks, Video preview",600,67,1.37,52,24,-29,,4,7,-3,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-27 04:28:28,2026-04-22 19:54:34
flowers delivered gold coast,AU,Australia,English,Gold Coast (Location),false,true,false,true,true,true,Sitelinks,200,27,1.96,10,24,14,,7,2,5,,https://www.lvly.com.au/collections/gold-coast,,https://www.lvly.com.au/collections/gold-coast,2026-01-07 02:32:33,2026-04-27 11:32:28
flower shops melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Local teaser, Thumbnail, Sitelinks",150,51,1.12,11,24,13,,6,3,3,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-16 03:30:33,2026-04-01 10:10:43
gift delivery melbourne same day,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Top ads, Paid sitelinks, AI Overview, Thumbnail, Sitelinks, Shopping, Discussions and forums, People also ask, Knowledge panel",150,16,1.24,19,24,5,4,3,3,,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/shop-all,2025-12-14 07:23:08,2026-04-14 13:54:54
delivery flowers,AU,Australia,English,,false,false,false,false,true,true,Sitelinks,200,66,1.35,10,24,14,,2,3,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-06 15:11:03,2026-04-22 08:48:50
next day delivery flowers,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail",200,67,1.95,52,23,-28,,1,2,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-07 19:47:17,2026-04-22 07:32:45
flower to delivery,AU,Australia,English,,false,false,false,false,true,true,Sitelinks,150,67,,58,23,-35,,1,2,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-24 04:36:43,2026-04-22 02:34:12
flowers mornington peninsula,AU,Australia,English,Mornington Peninsula (Location),false,true,false,true,true,false,"Sitelinks, AI Overview",60,12,1.40,9,23,14,3,3,1,2,,https://www.lvly.com.au/collections/mornington-peninsula,,https://www.lvly.com.au/collections/mornington-peninsula,2026-01-24 16:04:37,2026-04-11 12:33:17
thinking of you during this difficult time,CA,Canada,English,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Discussions and forums",60,2,,23,23,0,,1,1,,AI Overview,https://www.lvly.com.au/blogs/lvly-blog/10-sympathy-messages-to-show-youre-thinking-of-them,AI Overview,https://www.lvly.com.au/blogs/lvly-blog/10-sympathy-messages-to-show-youre-thinking-of-them,2025-12-29 16:39:39,2026-03-29 00:57:48
flowers mornington,AU,Australia,English,Mornington (Location),false,true,false,true,true,true,"Local teaser, Sitelinks",150,14,1.22,9,23,14,,7,3,4,,https://www.lvly.com.au/collections/mornington-peninsula,,https://www.lvly.com.au/collections/mornington-peninsula,2026-01-23 16:54:23,2026-04-10 14:27:17
fremantle flowers,AU,Australia,English,Fremantle (Location),false,true,false,true,true,false,"Thumbnail, Bottom ads",150,18,1.41,8,23,15,,8,2,6,,https://www.lvly.com.au/collections/fremantle,,https://www.lvly.com.au/collections/fremantle,2026-01-08 15:47:53,2026-04-25 13:36:53
anniversary present,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, Sitelinks, People also ask",150,13,0.61,18,23,5,,4,3,1,,https://www.lvly.com.au/collections/anniversary,,https://www.lvly.com.au/collections/anniversary,2025-12-25 05:51:29,2026-04-12 07:55:05
flowers in sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,"Thumbnail, Sitelinks, People also ask",150,57,1.58,3,23,20,,13,2,11,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-28 13:16:25,2026-04-23 17:19:31
things to get for your birthday,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks, Discussions and forums",200,6,0.42,,23,,,,4,New,,,,https://www.lvly.com.au/collections/birthday,,2026-03-08 13:25:47
native flowers melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,true,"Top ads, Paid sitelinks, Local teaser, Sitelinks, Thumbnail, People also ask, Shopping",150,0,1.13,18,23,5,,4,3,1,,https://www.lvly.com.au/collections/native-flowers,,https://www.lvly.com.au/collections/native-flowers,2026-01-20 09:32:12,2026-04-05 03:04:55
flower delovery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Thumbnail, Shopping, People also ask",60,56,1.20,4,23,19,,6,1,5,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-11 02:29:34,2026-04-28 14:43:14
mothers day flowers australia,AU,Australia,English,"Mother's Day (Event), Australia (Location)",false,true,false,false,true,true,"AI Overview, People also ask, Shopping, Thumbnail",600,1,0.88,0,23,22,,16,10,6,,https://www.lvly.com.au/collections/mothers-day,,https://www.lvly.com.au/collections/mothers-day,2026-01-20 12:39:07,2026-04-29 06:57:09
flower sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Local teaser, Sitelinks",200,50,1.58,2,23,21,,16,4,12,,https://www.lvly.com.au/collections/flower-delivery-sydney,,https://www.lvly.com.au/,2026-01-19 14:35:01,2026-03-25 20:10:42
flower and wine delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Thumbnail, Sitelinks, Local teaser, Discussions and forums, Shopping",200,15,1.78,7,23,15,,8,3,5,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-28 20:55:51,2026-03-10 20:03:04
rose rush,AU,Australia,English,Rose Rush (Product),true,false,false,true,true,false,"Sitelinks, Shopping, Thumbnail, People also ask",60,0,,23,23,0,,1,1,,,https://www.lvly.com.au/pages/rose-rush,,https://www.lvly.com.au/pages/rose-rush,2026-01-28 05:50:28,2026-04-17 10:00:12
flower and gift delivery perth,AU,Australia,English,Perth (Location),false,true,false,true,true,true,"Top ads, Paid sitelinks, Local teaser, Sitelinks",60,17,1.35,9,23,13,3,3,2,1,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-19 19:06:02,2026-04-04 15:05:03
flower delivery torquay,AU,Australia,English,Torquay (Location),false,true,false,false,true,true,"Local teaser, Thumbnail, Sitelinks, People also ask",60,13,1.43,3,23,19,,7,2,5,,https://www.lvly.com.au/collections/flower-delivery-torquay-victoria,,https://www.lvly.com.au/collections/flower-delivery-torquay-victoria,2026-01-24 01:02:58,2026-04-11 15:31:03
ilvy flowers,AU,Australia,English,ilvy flowers (Organization),true,false,false,true,true,false,"Sitelinks, People also ask",60,15,2.30,23,23,0,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-08 06:22:31,2026-04-24 12:42:52
lovely flowers,AU,Australia,English,,false,false,false,true,true,false,"Sitelinks, People also ask, Knowledge panel, Video preview",150,31,0.94,29,22,-6,,2,2,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-19 03:05:58,2026-04-02 18:25:25
same day gifts,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Local teaser",150,27,1.02,22,22,0,,2,2,,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/shop-all,2025-12-30 09:33:32,2026-03-28 16:10:02
mothers day delivery,AU,Australia,English,Mother's Day (Event),false,false,false,true,true,true,"Sitelinks, People also ask",150,2,0.93,7,22,15,,2,2,,,https://www.lvly.com.au/collections/mothers-day,,https://www.lvly.com.au/collections/mothers-day,2026-01-03 07:05:19,2026-04-03 11:13:02
flowers delivered same day,AU,Australia,English,,false,false,false,false,true,true,"Shopping, Thumbnail, Sitelinks, Local teaser",60,67,0.99,22,22,0,,2,1,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-05 03:31:15,2026-04-06 02:51:33
lovely flower delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail",60,46,1.78,22,22,0,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-27 11:31:23,2026-04-15 22:15:17
champagne and flowers delivery melbourne,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Sitelinks, Thumbnail, Shopping",150,0,2.22,13,22,10,,6,3,3,,https://www.lvly.com.au/collections/flower-delivery-melbourne,,https://www.lvly.com.au/collections/champagne-and-flowers,2026-01-19 21:13:05,2026-04-14 05:55:17
mother's day delivery,AU,Australia,English,Mother's Day (Event),false,false,false,true,true,true,"Sitelinks, People also ask",150,0,,22,22,0,,2,2,,,https://www.lvly.com.au/collections/mothers-day,,https://www.lvly.com.au/collections/mothers-day,2025-12-16 12:40:03,2026-04-15 20:13:03
flowers in australia,AU,Australia,English,Australia (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",200,66,0.95,46,22,-25,,2,3,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-22 22:43:42,2026-03-06 22:15:49
flowers delivery central coast,AU,Australia,English,Central Coast (Location),false,true,false,true,true,true,Local teaser,60,26,1.79,20,22,2,,2,2,,,https://www.lvly.com.au/collections/central-coast-nsw,,https://www.lvly.com.au/collections/central-coast-nsw,2026-01-13 18:28:35,2026-04-05 22:46:21
gifts for birthdays,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, Shopping, People also ask, Sitelinks",60,2,0.50,6,22,16,,5,1,4,,https://www.lvly.com.au/collections/birthday,AI Overview,https://www.lvly.com.au/collections/birthday,2025-12-31 19:08:57,2026-03-31 00:17:28
florist burleigh heads,AU,Australia,English,Burleigh Heads (Location),false,true,false,true,true,false,"Top ads, Paid sitelinks, Local teaser, People also ask, Bottom ads",200,2,1.12,11,22,11,,7,4,3,,https://www.lvly.com.au/collections/flower-delivery-burleigh-heads-queensland,,https://www.lvly.com.au/collections/flower-delivery-burleigh-heads-queensland,2026-01-23 00:14:11,2026-04-12 05:00:38
spa gift voucher,AU,Australia,English,,false,false,false,true,true,true,"Shopping, Thumbnail, Discussions and forums, People also ask",200,0,0.81,,22,,,,3,New,,,,https://www.lvly.com.au/products/spa-flowers,,2026-04-25 23:36:28
lvly sale,AU,Australia,English,LVLY (Organization),true,false,false,true,true,false,"Knowledge panel, People also ask, Shopping, Thumbnail",30,0,,19,22,3,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-24 00:04:12,2026-04-10 18:54:47
flowers gold coast,AU,Australia,English,Gold Coast (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Sitelinks",1200,26,1.29,50,21,-29,,10,13,-3,,https://www.lvly.com.au/collections/gold-coast,,https://www.lvly.com.au/collections/gold-coast,2026-01-20 16:41:14,2026-04-13 23:03:55
flower shop,AU,Australia,English,,false,false,false,true,true,true,"AI Overview, Thumbnail, Sitelinks, Video preview",2400,59,0.65,159,21,-138,,3,12,-9,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-28 04:56:32,2026-04-25 18:37:34
mothers day flowers sydney,AU,Australia,English,"Mother's Day (Event), Sydney (Location)",false,true,false,false,true,true,"Sitelinks, Shopping, Thumbnail",200,12,2.39,1,21,20,,10,3,7,,https://www.lvly.com.au/collections/flower-delivery-sydney,,https://www.lvly.com.au/collections/flower-delivery-sydney,2026-01-04 09:45:50,2026-04-04 17:57:04
flowers delivery australia,GB,United Kingdom,English,Australia (Location),false,true,false,false,true,true,"Top ads, Paid sitelinks, Local teaser, Bottom ads",200,62,1.29,26,21,-5,,2,3,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-25 20:08:55,2026-03-23 11:09:49
flower gold coast,AU,Australia,English,Gold Coast (Location),false,true,false,true,true,true,"Sitelinks, People also ask",150,33,,8,21,12,,6,2,4,,https://www.lvly.com.au/collections/gold-coast,,https://www.lvly.com.au/collections/gold-coast,2026-01-10 06:11:03,2026-04-27 16:27:08
lvly flowers,GB,United Kingdom,English,LVLY (Organization),true,false,false,true,true,false,"Sitelinks, People also ask",60,4,1.26,21,21,0,,1,1,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-09 16:33:49,2026-04-26 03:51:52
flower delivery perth sunday,AU,Australia,English,Perth (Location),false,true,false,false,true,true,"Sitelinks, Local teaser, People also ask, Bottom ads, Paid sitelinks",60,20,1.52,5,21,16,2,5,1,4,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-07 20:37:51,2026-04-10 01:11:54
