Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
deals on cruises,AU,Australia,English,,false,false,false,true,true,false,People also ask,100,37,0.45,7,0,6,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-05-10 17:21:11
cruise deals from melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"Thumbnail, Bottom ads",300,1,0.27,7,0,6,,https://www.cruise1st.com.au/zones/last-minute-cruises-from-melbourne,2026-04-21 01:27:00
family cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Discussions and forums",100,0,0.46,7,0,5,,https://www.cruise1st.com.au/cruises/family-cruises,2026-05-02 05:02:32
various cruise deals,AU,Australia,English,,false,false,false,true,true,false,Top ads,80,43,,7,0,4,,https://www.cruise1st.com.au/cruises/cruise-deals,2026-04-27 00:36:05
august cruises,AU,Australia,English,,false,false,false,true,true,false,AI Overview,80,21,0.46,7,0,5,,https://www.cruise1st.com.au/cruises/august-cruises,2026-04-23 20:35:17
3 night cruises from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,,100,0,,7,0,6,,https://www.cruise1st.com.au/short-cruises-from-brisbane,2026-05-06 22:39:56
cruises to italy,AU,Australia,English,Italy (Location),false,false,false,true,true,false,"People also ask, Discussions and forums",150,0,0.63,7,0,8,,https://www.cruise1st.com.au/destinations/italy,2026-05-07 04:36:01
australia to bali cruise,AU,Australia,English,"Australia (Location), Bali (Location)",false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",20,0,0.42,7,0,1,AI Overview,https://www.cruise1st.com.au/destinations/bali,2026-04-10 03:29:29
short cruise from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,,100,0,0.34,7,0,5,,https://www.cruise1st.com.au/short-cruises-from-brisbane,2026-04-20 09:32:53
cruise away australia,AU,Australia,English,Australia (Location),false,true,false,true,true,false,"Top ads, Sitelinks, Knowledge panel, People also ask, Discussions and forums, Video preview",150,2,,7,0,7,,https://www.cruise1st.com.au/,2026-05-05 08:33:11
european cruises from australia,AU,Australia,English,,false,false,false,true,true,false,"Top ads, Paid sitelinks, AI Overview, Thumbnail, People also ask",150,5,0.35,7,0,8,,https://www.cruise1st.com.au/destinations/europe,2026-04-11 05:52:45
cruise vancouver to alaska,AU,Australia,English,,false,true,false,true,true,false,"Top ads, Thumbnail, AI Overview, People also ask, Discussions and forums",100,0,0.80,7,0,2,,https://www.cruise1st.com.au/vancouver-to-alaska-cruises,2026-04-27 22:29:30
lisbon cruise deals,AU,Australia,English,Lisbon (Location),false,true,false,true,true,true,People also ask,80,0,,7,0,4,,https://www.cruise1st.com.au/lisbon-portugal,2026-04-25 14:13:05
hawaii to australia cruise 2023,AU,Australia,English,,false,false,false,true,true,false,"Sitelinks, People also ask, Bottom ads, Paid sitelinks",150,0,0.48,7,0,7,,https://www.cruise1st.com.au/cruise-from-hawaii-to-australia,2026-04-30 07:39:28
14 day cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,People also ask,30,0,,7,0,1,,https://www.cruise1st.com.au/14-day-cruises-from-sydney,2026-04-24 18:23:16
cruise to japan from brisbane,AU,Australia,English,"Japan (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",150,0,,7,0,1,AI Overview,https://www.cruise1st.com.au/cruise-to-japan-from-australia,2026-05-01 02:50:28
cruises to the panama canal,AU,Australia,English,Panama Canal (Location),false,false,false,true,true,false,"Top ads, Paid sitelinks, Thumbnail, AI Overview, People also ask",80,2,1.05,7,0,6,,https://www.cruise1st.com.au/destinations/panama-canal,2026-04-20 03:14:36
greek island cruises from athens 2023,AU,Australia,English,Athens (Location),false,true,false,true,true,false,"Thumbnail, Sitelinks, People also ask",100,0,1.08,7,0,5,,https://www.cruise1st.com.au/greek-island-cruises-from-athens,2026-05-02 14:28:53
cruise to greece from australia,AU,Australia,English,"Greece (Location), Australia (Location)",false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",150,0,,7,0,9,,https://www.cruise1st.com.au/destinations/greece,2026-04-27 18:34:11
last minute cruise deals brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Top ads, Paid sitelinks",70,3,0.36,7,0,5,,https://www.cruise1st.com.au/last-minute-cruises-from-brisbane,2026-04-27 10:08:02
cruise january,AU,Australia,English,,false,false,false,true,true,false,"Top ads, Paid sitelinks, Thumbnail, Sitelinks",60,22,0.44,7,0,3,,https://www.cruise1st.com.au/cruises/january-cruises,2026-04-19 08:40:52
south pacific cruise deals,AU,Australia,English,South Pacific (Location),false,false,false,true,true,false,,200,1,0.64,7,0,8,,https://www.cruise1st.com.au/destinations/south-pacific,2026-05-08 05:57:38
cruises to png,AU,Australia,English,Papua New Guinea (Location),false,false,false,true,true,false,"AI Overview, People also ask",200,1,0.40,7,0,9,,https://www.cruise1st.com.au/destinations/papua-new-guinea,2026-05-10 13:27:53
short cruises around australia,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",30,3,,7,0,2,,https://www.cruise1st.com.au/cruises/short-cruises,2026-05-06 08:32:46
cruise from kuala lumpur,AU,Australia,English,Kuala Lumpur (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",20,0,0.37,7,0,1,AI Overview,https://www.cruise1st.com.au/cruises/cruises-from-kuala-lumpur,2026-04-14 17:00:33
cruises to san juan,AU,Australia,English,San Juan (Location),false,true,false,true,true,false,"Top ads, People also ask, Thumbnail, Discussions and forums, Bottom ads, Paid sitelinks",200,0,,7,0,8,,https://www.cruise1st.com.au/destinations/caribbean/san-juan,2026-05-01 11:47:27
cruises to the bahamas,AU,Australia,English,The Bahamas (Location),false,false,false,true,true,false,"People also ask, AI Overview",80,7,0.52,7,0,4,,https://www.cruise1st.com.au/destinations/caribbean/bahamas,2026-04-10 02:20:16
great barrier reef cruise from sydney,AU,Australia,English,"Great Barrier Reef (Location), Sydney (Location)",false,true,false,true,true,false,"Top ads, AI Overview, Thumbnail, People also ask, Bottom ads, Paid sitelinks",150,0,0.42,7,0,8,,https://www.cruise1st.com.au/cruises/cruises-from-great-barrier-reef,2026-04-19 17:00:28
october cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Thumbnail, AI Overview",100,31,0.42,7,0,6,,https://www.cruise1st.com.au/cruises/october-cruises,2026-05-01 16:19:54
aussie cruise deals,AU,Australia,English,,false,false,false,true,true,false,"Top ads, Paid sitelinks, Thumbnail, Bottom ads",100,46,,7,0,5,,https://www.cruise1st.com.au/,2026-04-16 06:25:33
4 day cruise from melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",50,0,0.25,7,0,3,,https://www.cruise1st.com.au/short-cruises-from-melbourne,2026-05-01 06:00:28
cruises to cairns from brisbane,AU,Australia,English,"Cairns (Location), Brisbane (Location)",false,true,false,true,true,false,"Top ads, Paid sitelinks, AI Overview, Thumbnail, People also ask",60,0,0.31,7,0,1,AI Overview,https://www.cruise1st.com.au/cruise-from-brisbane-to-cairns,2026-05-08 00:47:30
cruise deals from lisbon,AU,Australia,English,Lisbon (Location),false,true,false,true,true,false,,200,0,,7,0,8,,https://www.cruise1st.com.au/cruise/western-mediterranean-from-lisbon-portugal-with-the-silver-shadow-18545738,2026-04-15 12:02:19
cruises from barcelona 2023,AU,Australia,English,Barcelona (Location),false,true,false,true,true,false,"Sitelinks, People also ask",100,0,0.52,7,0,6,,https://www.cruise1st.com.au/cruise/mediterranean-sea-from-barcelona-spain-with-the-explora-i-17888702,2026-04-10 07:59:08
korea cruise,AU,Australia,English,South Korea (Location),false,false,false,true,true,false,,100,0,,7,0,6,,https://www.cruise1st.com.au/cruises/south-korea,2026-04-26 00:12:39
hawaii cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,People also ask,80,0,0.40,7,0,4,,https://www.cruise1st.com.au/hawaii-cruises-from-sydney,2026-05-05 05:36:29
cruises to new zealand from australia,AU,Australia,English,Australia (Location),false,true,false,true,true,true,"AI Overview, People also ask, Bottom ads, Paid sitelinks",80,2,0.42,7,0,4,,https://www.cruise1st.com.au/destinations/new-zealand,2026-05-05 03:05:39
uk cruises,AU,Australia,English,United Kingdom (Location),false,false,false,true,true,false,"People also ask, Thumbnail",80,13,0.57,7,0,4,,https://www.cruise1st.com.au/destinations/british-isles,2026-04-30 19:06:54
panama cruise,AU,Australia,English,Panama (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, Top ads, People also ask",100,0,0.42,7,0,7,,https://www.cruise1st.com.au/destinations/panama-canal,2026-04-24 15:38:53
cruises out of melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, Bottom ads, Paid sitelinks",200,0,0.22,7,0,6,,https://www.cruise1st.com.au/zones/last-minute-cruises-from-melbourne,2026-04-22 09:32:17
one way cruise from australia to new zealand,AU,Australia,English,"Australia (Location), New Zealand (Location)",false,false,false,true,true,false,"Top ads, Paid sitelinks, AI Overview, Thumbnail, People also ask, Discussions and forums",90,0,0.45,7,0,1,AI Overview,https://www.cruise1st.com.au/sydney-to-auckland-cruises,2026-05-07 22:58:47
cruises from dubai,AU,Australia,English,Dubai (Location),false,true,false,true,true,false,"AI Overview, People also ask",200,0,0.45,7,0,9,,https://www.cruise1st.com.au/destinations/dubai-emirates,2026-04-09 06:23:51
cruise in vietnam,AU,Australia,English,Vietnam (Location),false,true,false,true,true,false,"AI Overview, Video preview, Thumbnail, Top ads, People also ask, Bottom ads, Paid sitelinks",60,0,,7,0,4,,https://www.cruise1st.com.au/destinations/vietnam,2026-04-25 14:15:53
cruise to queensland from sydney,AU,Australia,English,"Queensland (Location), Sydney (Location)",false,true,false,true,true,false,AI Overview,40,9,,7,0,3,,https://www.cruise1st.com.au/queensland-cruises-from-sydney,2026-04-17 10:20:33
cruises to st. thomas,AU,Australia,English,St. Thomas (Location),false,true,false,true,true,false,People also ask,80,0,,7,0,4,,https://www.cruise1st.com.au/destinations/caribbean/st-thomas,2026-04-16 06:18:04
cruise new zealand from brisbane,AU,Australia,English,"New Zealand (Location), Brisbane (Location)",false,true,false,true,true,false,AI Overview,50,0,,7,0,3,,https://www.cruise1st.com.au/new-zealand-cruises-from-brisbane,2026-05-04 05:12:52
last minute cruises to mexico,AU,Australia,English,,false,false,false,true,true,true,People also ask,80,3,,7,0,5,,https://www.cruise1st.com.au/cruises-mexico,2026-04-16 07:54:03
cruise december 2024,AU,Australia,English,,false,false,false,true,true,true,People also ask,90,8,0.42,7,0,5,,https://www.cruise1st.com.au/cruises/december-cruises,2026-05-03 03:57:20
xmas cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,"AI Overview, People also ask",150,0,0.42,7,0,8,,https://www.cruise1st.com.au/christmas-cruises-from-sydney,2026-05-05 19:40:49
fiji cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,,90,0,0.37,7,0,5,,https://www.cruise1st.com.au/sydney-to-fiji-cruises,2026-04-22 12:03:54
penang cruise,AU,Australia,English,Penang (Location),false,true,false,true,true,false,"Thumbnail, Local pack, People also ask",70,0,0.45,7,0,5,,https://www.cruise1st.com.au/cruises/cruises-from-penang,2026-04-14 10:49:39
cruise holidays australia,AU,Australia,English,Australia (Location),false,true,false,true,true,false,"Thumbnail, People also ask",200,56,0.46,7,0,8,,https://www.cruise1st.com.au/,2026-04-11 05:17:45
cruise the mississippi,AU,Australia,English,Mississippi River (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, Video preview, Top ads, Paid sitelinks, People also ask, Bottom ads",150,0,,7,2,9,,https://www.cruise1st.com.au/cruise-ship/viking-mississippi,2026-04-15 07:00:02
last minute cruise sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,,90,1,,7,0,5,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-04-09 08:08:17
boat cruise to new zealand,AU,Australia,English,New Zealand (Location),false,false,false,true,true,false,"Top ads, Thumbnail, AI Overview, People also ask",90,4,,7,0,6,,https://www.cruise1st.com.au/destinations/new-zealand,2026-05-05 05:52:54
hawaii to sydney cruises,AU,Australia,English,"Hawaii (Location), Sydney (Location)",false,true,false,true,true,true,"AI Overview, Thumbnail",20,0,0.42,7,0,1,,https://www.cruise1st.com.au/honolulu-to-sydney-cruises,2026-05-07 06:22:47
vietnamese cruise,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Bottom ads, Paid sitelinks",20,0,0.37,7,0,2,,https://www.cruise1st.com.au/destinations/vietnam,2026-05-02 18:50:29
cruise sydney hawaii,AU,Australia,English,"Sydney (Location), Hawaii (Location)",false,true,false,true,true,false,"Top ads, Paid sitelinks, AI Overview",50,0,,7,0,3,,https://www.cruise1st.com.au/hawaii-cruises-from-sydney,2026-04-14 04:56:53
fly cruise,AU,Australia,English,,false,false,false,true,true,false,,50,5,0.57,7,0,3,,https://www.cruise1st.com.au/fly-cruises,2026-04-23 22:25:28
cruises to new zealand from melbourne,AU,Australia,English,"New Zealand (Location), Melbourne (Location)",false,true,false,true,true,false,"AI Overview, People also ask",150,0,0.41,7,0,9,,https://www.cruise1st.com.au/melbourne-to-new-zealand-cruises-2027,2026-05-07 05:01:14
ocean crossing cruise deals,AU,Australia,English,,false,false,false,true,true,false,,150,5,,7,0,7,,https://www.cruise1st.com.au/cruises/cruise-deals,2026-04-15 21:04:36
sydney to queensland cruise,AU,Australia,English,"Sydney (Location), Queensland (Location)",false,true,false,true,true,false,,60,4,0.42,7,0,4,,https://www.cruise1st.com.au/queensland-cruises-from-sydney,2026-04-10 20:22:27
sydney cruise price,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",40,49,,7,0,3,,https://www.cruise1st.com.au/cruises/cruises-from-sydney,2026-04-30 07:05:28
cruises in april,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, Bottom ads, Paid sitelinks",70,10,0.45,7,0,4,,https://www.cruise1st.com.au/cruises/april-cruises,2026-05-07 17:56:34
cruise deals from singapore,AU,Australia,English,Singapore (Location),false,true,false,true,true,false,AI Overview,70,2,0.56,7,0,5,,https://www.cruise1st.com.au/cruises/cruises-from-singapore,2026-04-09 21:11:41
cruises from san francisco to alaska,AU,Australia,English,"San Francisco (Location), Alaska (Location)",false,true,false,true,true,false,"Top ads, Thumbnail, People also ask, Discussions and forums",70,0,0.56,7,0,4,,https://www.cruise1st.com.au/cruise/alaska-west-canada-from-san-francisco-usa-with-the-ruby-princess-18040334,2026-04-27 14:55:56
best cruise lines,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, People also ask, Discussions and forums, Thumbnail, Video preview, Image pack",450,4,0.53,7,0,13,,https://www.cruise1st.com.au/cruise-lines,2026-05-11 09:31:39
cruise sydney to fiji,AU,Australia,English,,false,true,false,true,true,false,,70,0,0.37,7,0,5,,https://www.cruise1st.com.au/sydney-to-fiji-cruises,2026-04-16 09:35:41
cruise in may,AU,Australia,English,,false,false,false,true,true,false,"Top ads, Paid sitelinks, People also ask",30,28,,7,0,1,,https://www.cruise1st.com.au/cruises/may-cruises,2026-04-14 23:27:08
round the world cruise from australia,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",50,0,,7,0,4,,https://www.cruise1st.com.au/sydney-world-cruises,2026-04-09 17:28:51
cruises japan,AU,Australia,English,Japan (Location),false,false,false,true,true,false,"AI Overview, People also ask",200,0,0.46,7,0,10,,https://www.cruise1st.com.au/destinations/japan,2026-04-18 09:39:36
expedition cruises australia,AU,Australia,English,Australia (Location),false,true,false,true,true,true,"Sitelinks, People also ask, Knowledge panel",60,57,0.66,7,0,3,,https://www.cruise1st.com.au/cruises/expedition-cruises,2026-05-09 05:06:56
how much is a cruise to antarctica,AU,Australia,English,Antarctica (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Sitelinks, Bottom ads, Paid sitelinks",100,3,0.57,7,0,8,,https://www.cruise1st.com.au/destinations/antarctica,2026-04-26 08:30:35
mediterranean cruise,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Thumbnail, Video preview",1800,3,0.77,7,0,18,,https://www.cruise1st.com.au/cheap-mediterranean-cruise-deals,2026-05-03 16:02:48
world cruises 2025 from australia,AU,Australia,English,Australia (Location),false,false,false,true,true,false,"People also ask, Video preview",100,0,0.43,7,0,6,,https://www.cruise1st.com.au/destinations/world-cruises,2026-04-30 05:47:18
cruises to montreal,AU,Australia,English,Montreal (Location),false,true,false,true,true,false,"Top ads, People also ask, Thumbnail, Discussions and forums",150,0,0.56,7,0,8,,https://www.cruise1st.com.au/destinations/north-america/montreal,2026-05-08 10:21:39
28 day cruise around australia 2024,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Sitelinks, Thumbnail, Bottom ads, Paid sitelinks",200,0,0.42,7,0,8,,https://www.cruise1st.com.au/cruise/australia-from-sydney-australia-with-the-grand-princess-18604051,2026-04-23 12:07:33
cruises to tonga,AU,Australia,English,Tonga (Location),false,false,false,true,true,false,"AI Overview, People also ask, Bottom ads, Paid sitelinks",50,0,0.45,7,0,2,,https://www.cruise1st.com.au/cruises/tonga,2026-04-24 00:29:28
cruise from brisbane to melbourne,AU,Australia,English,"Brisbane (Location), Melbourne (Location)",false,true,false,true,true,false,"AI Overview, People also ask",50,8,0.25,7,0,3,,https://www.cruise1st.com.au/brisbane-to-melbourne-cruise,2026-05-10 02:37:55
cruise to tahiti from sydney,AU,Australia,English,"Tahiti (Location), Sydney (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Video preview, Bottom ads, Paid sitelinks",100,0,,7,0,7,,https://www.cruise1st.com.au/cruises/french-polynesia,2026-04-23 01:04:53
cheap cruise brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"AI Overview, Local pack",100,2,,7,0,7,,https://www.cruise1st.com.au/short-cruises-from-brisbane,2026-05-04 13:54:01
pacific ocean cruises,AU,Australia,English,Pacific Ocean (Location),false,false,false,true,true,false,People also ask,100,0,0.53,7,0,6,,https://www.cruise1st.com.au/destinations/pacific,2026-05-08 01:49:07
cruises to the eastern caribbean,AU,Australia,English,Eastern Caribbean (Location),false,false,false,true,true,false,"AI Overview, People also ask, Discussions and forums",200,0,,7,0,10,,https://www.cruise1st.com.au/destinations/eastern-caribbean,2026-05-11 07:17:32
cruise from australia to europe,AU,Australia,English,Europe (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",150,0,0.38,7,0,8,,https://www.cruise1st.com.au/destinations/europe,2026-05-02 21:16:52
family cruises from adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, Sitelinks, People also ask",40,0,0.29,7,0,3,,https://www.cruise1st.com.au/cruises/family-cruises,2026-05-09 09:36:23
adriatic cruise,AU,Australia,English,Adriatic Sea (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, Top ads, Paid sitelinks, People also ask, Bottom ads",100,0,0.98,7,0,1,AI Overview,https://www.cruise1st.com.au/cruises/adriatic-sea,2026-05-05 16:22:53
cruises from venice 2023,AU,Australia,English,Venice (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Sitelinks",100,0,0.84,7,0,6,,https://www.cruise1st.com.au/cruise/western-mediterranean-from-venice-italy-with-the-silver-nova-18545287,2026-04-20 19:28:29
cruises from cairns 2024,AU,Australia,English,Cairns (Location),false,true,false,true,true,false,"Sitelinks, People also ask",100,0,0.36,7,0,6,,https://www.cruise1st.com.au/cruises/cruises-from-cairns,2026-05-11 02:03:28
cruises to airlie beach from brisbane,AU,Australia,English,"Airlie Beach (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",70,0,,7,0,5,,https://www.cruise1st.com.au/brisbane-to-airlie-beach-cruise,2026-04-18 06:32:35
brisbane to hawaii,AU,Australia,English,"Brisbane (Location), Hawaii (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",1100,0,0.15,7,0,15,,https://www.cruise1st.com.au/hawaii-cruises-from-brisbane,2026-04-28 22:23:08
vietnam cruises 2023,AU,Australia,English,Vietnam (Location),false,false,false,true,true,false,"AI Overview, People also ask",150,13,0.92,7,0,5,People also ask,https://www.cruise1st.com.au/destinations/vietnam,2026-05-09 10:05:25
cruise to new zealand from melbourne,AU,Australia,English,"New Zealand (Location), Melbourne (Location)",false,true,false,true,true,false,"Thumbnail, People also ask",150,0,0.41,7,0,8,,https://www.cruise1st.com.au/melbourne-to-new-zealand-cruises-2027,2026-04-14 09:11:21
cruises august 2023,AU,Australia,English,,false,false,false,true,true,false,"Sitelinks, People also ask",150,56,0.52,7,0,7,,https://www.cruise1st.com.au/,2026-05-06 19:24:53
january cruise,AU,Australia,English,,false,false,false,true,true,false,Discussions and forums,50,11,,7,0,3,,https://www.cruise1st.com.au/cruises/january-cruises,2026-05-05 03:27:02
cruise from australia to fiji,AU,Australia,English,Fiji (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Discussions and forums",100,0,0.41,7,0,7,,https://www.cruise1st.com.au/sydney-to-fiji-cruises,2026-04-28 18:05:35
cruise january 2025,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Thumbnail",100,35,0.40,7,0,6,,https://www.cruise1st.com.au/,2026-04-20 15:49:02
cruises from singapore to fremantle,AU,Australia,English,"Singapore (Location), Fremantle (Location)",false,true,false,true,true,false,"AI Overview, People also ask",50,0,0.42,7,0,4,,https://www.cruise1st.com.au/cruise-from-singapore-to-perth,2026-05-10 06:48:46
2 night cruises from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"AI Overview, Thumbnail",30,0,,7,0,1,AI Overview,https://www.cruise1st.com.au/short-cruises-from-brisbane,2026-04-17 12:03:55
cruises january,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, Discussions and forums",50,9,0.44,7,0,2,,https://www.cruise1st.com.au/cruises/january-cruises,2026-05-10 12:55:08
cruises from brisbane to singapore,AU,Australia,English,"Brisbane (Location), Singapore (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",50,0,,7,0,1,AI Overview,https://www.cruise1st.com.au/brisbane-to-singapore-cruises,2026-04-10 19:32:28
cruises to cook islands,AU,Australia,English,Cook Islands (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",50,0,0.46,7,0,3,,https://www.cruise1st.com.au/cruises/cook-islands,2026-05-11 04:25:40
fiji cruises,AU,Australia,English,Fiji (Location),false,true,false,true,true,false,"Local pack, Thumbnail, Discussions and forums, Video preview",500,0,0.25,7,0,14,,https://www.cruise1st.com.au/sydney-to-fiji-cruises,2026-04-25 21:02:27
cruises june 2024,AU,Australia,English,,false,false,false,true,true,false,"Top ads, Paid sitelinks, People also ask, Sitelinks, Bottom ads",100,49,0.45,7,0,6,,https://www.cruise1st.com.au/cruises/june-cruises,2026-04-27 17:16:27
cruises from los angeles 2023,AU,Australia,English,Los Angeles (Location),false,true,false,true,true,false,Sitelinks,100,0,0.37,7,0,6,,https://www.cruise1st.com.au/cruises/cruises-from-los-angeles,2026-05-07 23:05:06
deals cruise,AU,Australia,English,,false,false,false,true,true,false,AI Overview,70,44,,7,0,5,,https://www.cruise1st.com.au/,2026-04-21 09:19:30
cruise deals from los angeles,AU,Australia,English,Los Angeles (Location),false,true,false,true,true,false,"AI Overview, Thumbnail",70,0,,7,0,6,,https://www.cruise1st.com.au/cruises/cruises-from-los-angeles,2026-04-14 04:33:43
sydney hawaii cruise,AU,Australia,English,"Sydney (Location), Hawaii (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, Video preview",60,0,,7,0,1,AI Overview,https://www.cruise1st.com.au/hawaii-cruises-from-sydney,2026-05-09 10:05:55
cruises to samoa,AU,Australia,English,Samoa (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Bottom ads, Paid sitelinks",60,0,0.38,7,0,1,AI Overview,https://www.cruise1st.com.au/cruises/somoa,2026-04-13 14:26:09
last minute cruises from hong kong,AU,Australia,English,Hong Kong (Location),false,true,false,true,true,true,,70,0,,7,0,4,,https://www.cruise1st.com.au/cruises/cruises-from-hong-kong,2026-04-24 17:50:23
world cruise from australia,AU,Australia,English,Australia (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",100,0,0.45,7,0,7,,https://www.cruise1st.com.au/sydney-world-cruises,2026-04-17 02:42:50
british isles cruises,AU,Australia,English,British Isles (Location),false,false,false,true,true,false,"Top ads, Paid sitelinks, Thumbnail, People also ask",100,0,0.55,7,0,6,,https://www.cruise1st.com.au/destinations/british-isles,2026-04-21 09:45:29
cruises newcastle,AU,Australia,English,Newcastle (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, Top ads, Knowledge panel, People also ask, Bottom ads",100,7,0.34,7,0,1,AI Overview,https://www.cruise1st.com.au/cruises/cruises-from-newcastle,2026-05-01 23:35:53
7 days cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, Bottom ads, Paid sitelinks",20,26,,7,0,1,AI Overview,https://www.cruise1st.com.au/7-day-cruises-from-sydney,2026-04-23 23:44:39
cruise sydney to auckland one way,AU,Australia,English,Sydney to Auckland (Event),false,true,false,true,true,false,AI Overview,20,0,,7,0,2,,https://www.cruise1st.com.au/sydney-to-auckland-cruises,2026-05-08 03:07:08
cruise from sydney to asia,AU,Australia,English,"Sydney (Location), Asia (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail",20,0,0.45,7,0,1,AI Overview,https://www.cruise1st.com.au/asia-cruises-from-sydney,2026-04-21 23:37:25
cruise ship packages,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, People also ask",200,48,0.28,7,0,9,,https://www.cruise1st.com.au/cruises/cruises-from-sydney,2026-04-22 07:58:59
october cruise,AU,Australia,English,,false,false,false,true,true,false,"Top ads, Paid sitelinks, Thumbnail, People also ask",40,4,,7,0,2,,https://www.cruise1st.com.au/cruises/october-cruises,2026-04-28 23:03:53
brisbane to perth cruise,AU,Australia,English,,false,true,false,true,true,false,"People also ask, AI Overview",40,0,0.26,7,0,2,,https://www.cruise1st.com.au/cruises-to-perth,2026-04-16 12:28:34
bahamas cruises,AU,Australia,English,Bahamas (Location),false,true,false,true,true,false,"Thumbnail, People also ask",150,1,0.63,6,0,7,,https://www.cruise1st.com.au/destinations/caribbean/bahamas,2026-04-21 00:24:19
cruise to vanuatu from melbourne,AU,Australia,English,"Vanuatu (Location), Melbourne (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Sitelinks",70,0,,6,0,1,AI Overview,https://www.cruise1st.com.au/cruises/vanuatu,2026-05-06 07:47:17
cruises brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"Discussions and forums, Video preview",1200,0,0.33,6,0,17,,https://www.cruise1st.com.au/cruises/cruises-from-brisbane,2026-05-10 07:16:46
australia to nz cruise,AU,Australia,English,,false,false,false,true,true,false,,60,2,0.45,6,0,3,,https://www.cruise1st.com.au/destinations/new-zealand,2026-04-14 12:42:48
3 days cruise from melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Bottom ads, Paid sitelinks",40,0,,6,0,1,AI Overview,https://www.cruise1st.com.au/3-day-cruises-from-melbourne,2026-05-05 20:34:02
cruise deal from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,Thumbnail,40,9,,6,0,2,,https://www.cruise1st.com.au/cruises/cruises-from-sydney,2026-04-23 16:56:27
